time;total;exploitable;vols
Tue Apr 17 20:23:55 CEST 2018;5282.0;5282.0;4998.0
Tue Apr 17 20:29:12 CEST 2018;164030.0;141343.0;5749.0
Tue Apr 17 20:34:13 CEST 2018;323303.0;275937.0;6325.0
Tue Apr 17 20:39:13 CEST 2018;482547.0;411095.0;6951.0
Tue Apr 17 20:44:14 CEST 2018;641797.0;545901.0;7541.0
Tue Apr 17 20:49:12 CEST 2018;800456.0;680137.0;8092.0
Tue Apr 17 20:54:12 CEST 2018;959075.0;813377.0;8615.0
Tue Apr 17 20:59:13 CEST 2018;1116646.0;947754.0;9128.0
Tue Apr 17 21:04:20 CEST 2018;1276121.0;1077464.0;9760.0
Tue Apr 17 21:09:35 CEST 2018;1440875.0;1210386.0;10521.0
