time;total;exploitable;vols;memoire;retbdd
Thu May 03 20:21:03 CEST 2018;5765;5765;5443;5765;0.0
Thu May 03 20:21:13 CEST 2018;11546;10694;5497;5815;0.0
Thu May 03 20:21:22 CEST 2018;17307;15601;5531;5847;0.0
Thu May 03 20:21:32 CEST 2018;23066;20510;5557;5867;0.0
Thu May 03 20:21:41 CEST 2018;28840;25425;5579;5890;0.0
Thu May 03 20:21:51 CEST 2018;34607;30331;5606;5914;0.0
Thu May 03 20:22:00 CEST 2018;40361;35206;5629;5933;0.0
Thu May 03 20:22:12 CEST 2018;46137;40138;5655;5960;0.0
Thu May 03 20:22:20 CEST 2018;51922;45051;5683;5988;0.0
Thu May 03 20:22:31 CEST 2018;57687;49945;5705;6005;0.0
Thu May 03 20:22:41 CEST 2018;63446;54835;5725;6023;0.0
Thu May 03 20:22:55 CEST 2018;69232;59760;5754;6050;0.0
Thu May 03 20:23:02 CEST 2018;75039;64681;5789;6086;0.0
Thu May 03 20:23:12 CEST 2018;80816;69574;5808;6105;0.0
Thu May 03 20:23:21 CEST 2018;86599;74495;5831;6132;0.0
Thu May 03 20:23:33 CEST 2018;92373;79394;5845;6143;0.0
Thu May 03 20:23:42 CEST 2018;98158;84291;5873;6169;0.0
Thu May 03 20:23:54 CEST 2018;103918;89163;5895;6185;0.0
Thu May 03 20:24:03 CEST 2018;109676;94045;5924;6205;0.0
Thu May 03 20:24:14 CEST 2018;115437;98898;5947;6223;0.0
Thu May 03 20:24:22 CEST 2018;121213;103788;5969;6241;0.0
Thu May 03 20:24:34 CEST 2018;126965;108650;5984;6249;0.0
Thu May 03 20:24:41 CEST 2018;132715;113515;6006;6268;0.0
Thu May 03 20:24:50 CEST 2018;138471;118382;6031;6287;0.0
Thu May 03 20:25:01 CEST 2018;144220;123266;6052;6302;0.0
Thu May 03 20:25:12 CEST 2018;149966;128175;6072;6318;0.0
Thu May 03 20:25:20 CEST 2018;155722;133056;6096;6343;0.0
Thu May 03 20:25:30 CEST 2018;161486;137964;6121;6368;0.0
Thu May 03 20:25:40 CEST 2018;167257;142883;6139;6388;0.0
Thu May 03 20:25:50 CEST 2018;173035;147814;6165;6415;0.0
Thu May 03 20:26:01 CEST 2018;178810;152748;6192;6185;8.0
Thu May 03 20:26:11 CEST 2018;184584;157699;6229;6070;26.0
Thu May 03 20:26:20 CEST 2018;190343;162621;6257;6010;35.0
Thu May 03 20:26:32 CEST 2018;196095;167532;6284;5984;42.0
Thu May 03 20:26:42 CEST 2018;201849;172436;6313;5975;48.0
Thu May 03 20:26:51 CEST 2018;207620;177371;6357;5990;53.0
Thu May 03 20:27:03 CEST 2018;213404;182294;6394;6002;58.0
Thu May 03 20:27:12 CEST 2018;219187;187211;6432;6009;73.0
Thu May 03 20:27:20 CEST 2018;224967;192162;6465;6012;85.0
Thu May 03 20:27:31 CEST 2018;230742;197087;6499;6023;90.0
Thu May 03 20:27:41 CEST 2018;236530;202030;6541;6034;95.0
Thu May 03 20:27:49 CEST 2018;242326;206961;6579;6045;109.0
Thu May 03 20:28:01 CEST 2018;248125;211911;6628;6053;127.0
Thu May 03 20:28:11 CEST 2018;253905;216831;6664;6060;134.0
Thu May 03 20:28:20 CEST 2018;259674;221734;6694;6066;143.0
Thu May 03 20:28:30 CEST 2018;265431;226659;6724;6071;150.0
Thu May 03 20:28:40 CEST 2018;271183;231598;6741;6059;159.0
Thu May 03 20:28:49 CEST 2018;276933;236504;6772;6061;166.0
Thu May 03 20:29:03 CEST 2018;282684;241403;6801;6065;175.0
Thu May 03 20:29:10 CEST 2018;288435;246275;6822;6066;180.0
Thu May 03 20:29:24 CEST 2018;294193;251206;6860;6084;189.0
Thu May 03 20:29:30 CEST 2018;299947;256119;6884;6088;194.0
Thu May 03 20:29:40 CEST 2018;305700;261016;6908;6098;203.0
Thu May 03 20:29:50 CEST 2018;311455;265903;6944;6113;209.0
Thu May 03 20:30:00 CEST 2018;317216;270807;6980;6125;215.0
Thu May 03 20:30:11 CEST 2018;322979;275720;7010;6136;224.0
Thu May 03 20:30:21 CEST 2018;328739;280632;7036;6146;229.0
Thu May 03 20:30:32 CEST 2018;334505;285551;7071;6159;234.0
Thu May 03 20:30:42 CEST 2018;340270;290444;7092;6161;240.0
Thu May 03 20:30:52 CEST 2018;346041;295364;7121;6170;248.0
Thu May 03 20:31:02 CEST 2018;351810;300250;7154;6178;253.0
Thu May 03 20:31:11 CEST 2018;357571;305172;7184;6170;262.0
Thu May 03 20:31:21 CEST 2018;363337;310073;7213;6169;272.0
Thu May 03 20:31:32 CEST 2018;369092;314994;7239;6162;286.0
Thu May 03 20:31:41 CEST 2018;374848;319914;7268;6165;297.0
