time;total;exploitable;vols;memoire;retbdd
Thu May 03 21:49:53 CEST 2018;5630;5630;5308;5630;0.0
Thu May 03 21:50:01 CEST 2018;11245;10457;5337;5656;0.0
Thu May 03 21:50:11 CEST 2018;16863;15256;5357;5676;0.0
Thu May 03 21:50:21 CEST 2018;22486;20098;5389;5703;0.0
Thu May 03 21:50:32 CEST 2018;28102;24892;5410;5724;0.0
Thu May 03 21:50:40 CEST 2018;33722;29699;5430;5742;0.0
Thu May 03 21:50:55 CEST 2018;39347;34515;5451;5766;0.0
Thu May 03 21:51:03 CEST 2018;44973;39340;5478;5784;0.0
Thu May 03 21:51:11 CEST 2018;50612;44172;5501;5810;0.0
Thu May 03 21:51:22 CEST 2018;56242;48983;5524;5827;0.0
Thu May 03 21:51:32 CEST 2018;61882;53841;5559;5858;0.0
Thu May 03 21:51:42 CEST 2018;67527;58693;5582;5881;0.0
Thu May 03 21:51:51 CEST 2018;73172;63514;5600;5901;0.0
Thu May 03 21:52:02 CEST 2018;78806;68349;5617;5918;0.0
Thu May 03 21:52:13 CEST 2018;84430;73169;5637;5933;0.0
Thu May 03 21:52:22 CEST 2018;90059;78009;5659;5949;0.0
Thu May 03 21:52:31 CEST 2018;95679;82829;5672;5962;0.0
Thu May 03 21:52:43 CEST 2018;101292;87632;5690;5977;0.0
Thu May 03 21:52:51 CEST 2018;106907;92438;5717;6002;0.0
Thu May 03 21:53:01 CEST 2018;112511;97205;5732;6015;0.0
Thu May 03 21:53:12 CEST 2018;118115;101990;5746;6029;0.0
Thu May 03 21:53:22 CEST 2018;123720;106789;5767;6051;0.0
Thu May 03 21:53:31 CEST 2018;129323;111566;5781;6065;0.0
Thu May 03 21:53:41 CEST 2018;134937;116340;5808;6089;0.0
Thu May 03 21:53:52 CEST 2018;140554;121146;5827;6111;0.0
Thu May 03 21:54:02 CEST 2018;146170;125944;5844;6129;0.0
Thu May 03 21:54:12 CEST 2018;151791;130727;5871;6151;0.0
Thu May 03 21:54:22 CEST 2018;157409;135518;5887;6168;0.0
Thu May 03 21:54:30 CEST 2018;163011;140288;5904;6179;0.0
Thu May 03 21:54:42 CEST 2018;168610;145072;5920;6194;0.0
Thu May 03 21:54:52 CEST 2018;174202;149843;5936;6207;0.0
Thu May 03 21:55:02 CEST 2018;179792;154640;5960;6232;0.0
Thu May 03 21:55:12 CEST 2018;185381;159443;5979;6248;0.0
Thu May 03 21:55:22 CEST 2018;190974;164257;5997;6264;0.0
Thu May 03 21:55:31 CEST 2018;196570;169061;6021;6290;0.0
Thu May 03 21:55:42 CEST 2018;202177;173873;6043;6311;0.0
Thu May 03 21:55:51 CEST 2018;207770;178651;6057;6320;0.0
Thu May 03 21:56:01 CEST 2018;213369;183462;6084;6342;0.0
Thu May 03 21:56:13 CEST 2018;218949;188244;6095;6351;0.0
Thu May 03 21:56:25 CEST 2018;224531;193069;6109;6368;0.0
Thu May 03 21:56:34 CEST 2018;230124;197858;6124;6379;0.0
Thu May 03 21:56:42 CEST 2018;235710;202644;6140;6395;0.0
Thu May 03 21:56:51 CEST 2018;241306;207442;6170;6419;0.0
Thu May 03 21:57:02 CEST 2018;246916;212258;6203;6447;0.0
Thu May 03 21:57:11 CEST 2018;252521;217046;6231;6470;0.0
Thu May 03 21:57:21 CEST 2018;258127;221839;6259;6491;0.0
Thu May 03 21:57:32 CEST 2018;263737;226625;6274;6505;0.0
Thu May 03 21:57:41 CEST 2018;269375;231473;6328;6550;0.0
Thu May 03 21:57:51 CEST 2018;275016;236296;6355;6572;0.0
Thu May 03 21:58:01 CEST 2018;280668;241156;6391;6603;0.0
Thu May 03 21:58:13 CEST 2018;286305;245985;6408;6620;0.0
Thu May 03 21:58:21 CEST 2018;291937;250829;6441;6649;0.0
Thu May 03 21:58:32 CEST 2018;297565;255646;6460;6664;0.0
Thu May 03 21:58:41 CEST 2018;303193;260447;6487;6688;0.0
Thu May 03 21:58:51 CEST 2018;308824;265236;6508;6707;0.0
Thu May 03 21:59:02 CEST 2018;314476;270043;6546;6742;0.0
Thu May 03 21:59:12 CEST 2018;320114;274812;6561;6755;0.0
Thu May 03 21:59:21 CEST 2018;325758;279596;6578;6774;0.0
Thu May 03 21:59:31 CEST 2018;331387;284354;6594;6787;0.0
Thu May 03 21:59:41 CEST 2018;337013;289105;6616;6801;0.0
Thu May 03 21:59:51 CEST 2018;342644;293863;6631;6816;0.0
Thu May 03 22:00:02 CEST 2018;348291;298610;6652;6834;0.0
Thu May 03 22:00:11 CEST 2018;353941;303349;6671;6849;0.0
Thu May 03 22:00:21 CEST 2018;359594;308128;6694;6867;0.0
Thu May 03 22:00:31 CEST 2018;365245;312879;6710;6880;0.0
Thu May 03 22:00:42 CEST 2018;370893;317649;6725;6890;0.0
Thu May 03 22:00:51 CEST 2018;376534;322454;6750;6911;0.0
Thu May 03 22:01:01 CEST 2018;382172;327238;6767;6924;0.0
Thu May 03 22:01:11 CEST 2018;387818;332030;6787;6944;0.0
Thu May 03 22:01:22 CEST 2018;393457;336788;6803;6957;0.0
Thu May 03 22:01:31 CEST 2018;399103;341555;6824;6976;0.0
Thu May 03 22:01:41 CEST 2018;404752;346295;6843;6993;0.0
Thu May 03 22:01:51 CEST 2018;410398;351075;6862;7006;0.0
Thu May 03 22:02:01 CEST 2018;416031;355804;6876;7019;0.0
Thu May 03 22:02:12 CEST 2018;421666;360582;6890;7033;0.0
Thu May 03 22:02:21 CEST 2018;427293;365364;6903;7044;0.0
Thu May 03 22:02:32 CEST 2018;432919;370138;6923;7065;0.0
Thu May 03 22:02:41 CEST 2018;438558;374930;6943;7088;0.0
Thu May 03 22:02:51 CEST 2018;444202;379704;6958;7106;0.0
Thu May 03 22:03:01 CEST 2018;449840;384502;6974;7122;0.0
Thu May 03 22:03:11 CEST 2018;455459;389277;6998;7142;0.0
Thu May 03 22:03:21 CEST 2018;461091;394079;7027;7172;0.0
Thu May 03 22:03:31 CEST 2018;466723;398839;7045;7190;0.0
Thu May 03 22:03:41 CEST 2018;472354;403628;7060;7205;0.0
Thu May 03 22:03:51 CEST 2018;477983;408409;7077;7220;0.0
Thu May 03 22:04:02 CEST 2018;483616;413226;7097;7239;0.0
