time;total;exploitable;vols
Tue Apr 17 21:30:45 CEST 2018;5369.0;5369.0;5061.0
Tue Apr 17 21:35:42 CEST 2018;166492.0;141384.0;5717.0
Tue Apr 17 21:40:47 CEST 2018;326315.0;276522.0;6459.0
Tue Apr 17 21:45:47 CEST 2018;486877.0;412012.0;7059.0
Tue Apr 17 21:50:47 CEST 2018;648268.0;547428.0;7781.0
Tue Apr 17 21:55:46 CEST 2018;806813.0;680994.0;8210.0
Tue Apr 17 22:00:47 CEST 2018;963222.0;814384.0;8789.0
Tue Apr 17 22:05:50 CEST 2018;1120521.0;943909.0;9346.0
Tue Apr 17 22:10:51 CEST 2018;1276857.0;1077798.0;9788.0
Tue Apr 17 22:15:50 CEST 2018;1432738.0;1211421.0;10268.0
Tue Apr 17 22:20:52 CEST 2018;1588250.0;1343433.0;10741.0
Tue Apr 17 22:25:52 CEST 2018;1743585.0;1474078.0;11210.0
Tue Apr 17 22:30:51 CEST 2018;1896545.0;1603519.0;11648.0
Tue Apr 17 22:35:52 CEST 2018;2047671.0;1731136.0;12098.0
Tue Apr 17 22:40:51 CEST 2018;2198616.0;1857687.0;12571.0
Tue Apr 17 22:46:15 CEST 2018;2349330.0;1982770.0;13149.0
Tue Apr 17 22:51:21 CEST 2018;2497956.0;2106390.0;13560.0
Tue Apr 17 22:56:35 CEST 2018;2643678.0;2229853.0;13986.0
Tue Apr 17 23:01:54 CEST 2018;2787786.0;2351766.0;14324.0
Tue Apr 17 23:07:13 CEST 2018;2931006.0;2472746.0;14725.0
Tue Apr 17 23:12:35 CEST 2018;3074335.0;2594048.0;15108.0
Tue Apr 17 23:17:47 CEST 2018;3217298.0;2712640.0;15470.0
Tue Apr 17 23:22:49 CEST 2018;3358171.0;2830707.0;15823.0
Tue Apr 17 23:27:49 CEST 2018;3499394.0;2949215.0;16192.0
Tue Apr 17 23:32:50 CEST 2018;3640783.0;3066138.0;16517.0
Tue Apr 17 23:37:49 CEST 2018;3781518.0;3182669.0;16945.0
Tue Apr 17 23:42:50 CEST 2018;3922455.0;3297861.0;17373.0
Tue Apr 17 23:47:49 CEST 2018;4061269.0;3412231.0;17698.0
