time;total;exploitable;vols
Mon Apr 16 20:33:01 CEST 2018;5384.0;5384.0;5042.0
Mon Apr 16 20:37:56 CEST 2018;163930.0;5902.0;5495.0
Mon Apr 16 20:43:07 CEST 2018;321352.0;6443.0;5971.0
Mon Apr 16 20:48:11 CEST 2018;479222.0;6942.0;6420.0
Mon Apr 16 20:53:11 CEST 2018;637168.0;7355.0;6775.0
Mon Apr 16 20:58:29 CEST 2018;794505.0;7864.0;7214.0
Mon Apr 16 21:03:26 CEST 2018;951978.0;8370.0;7678.0
Mon Apr 16 21:08:25 CEST 2018;1108897.0;8757.0;8021.0
Mon Apr 16 21:13:26 CEST 2018;1265124.0;9165.0;8364.0
Mon Apr 16 21:18:25 CEST 2018;1422845.0;9640.0;8804.0
Mon Apr 16 21:23:26 CEST 2018;1579888.0;10036.0;9167.0
Mon Apr 16 21:28:26 CEST 2018;1737154.0;10446.0;9542.0
Mon Apr 16 21:33:25 CEST 2018;1894537.0;10883.0;9954.0
Mon Apr 16 21:38:26 CEST 2018;2050325.0;11220.0;10266.0
Mon Apr 16 21:43:26 CEST 2018;2206921.0;11691.0;10707.0
Mon Apr 16 21:48:26 CEST 2018;2365868.0;12098.0;11092.0
Mon Apr 16 21:53:25 CEST 2018;2524438.0;12571.0;11534.0
Mon Apr 16 21:58:25 CEST 2018;2682833.0;12970.0;11908.0
Mon Apr 16 22:03:26 CEST 2018;2841058.0;13373.0;12290.0
Mon Apr 16 22:08:26 CEST 2018;2999845.0;13793.0;12685.0
Mon Apr 16 22:13:26 CEST 2018;3157239.0;14128.0;12998.0
Mon Apr 16 22:18:28 CEST 2018;3312875.0;14410.0;13254.0
Mon Apr 16 22:23:26 CEST 2018;3467974.0;14653.0;13482.0
Mon Apr 16 22:28:27 CEST 2018;3624178.0;14900.0;13724.0
Mon Apr 16 22:33:27 CEST 2018;3776019.0;15091.0;13899.0
Mon Apr 16 22:38:30 CEST 2018;3924768.0;15308.0;14093.0
Mon Apr 16 22:43:34 CEST 2018;4073980.0;15563.0;14328.0
Mon Apr 16 22:48:32 CEST 2018;4224628.0;15862.0;14590.0
Mon Apr 16 22:53:33 CEST 2018;4377613.0;16153.0;14875.0
Mon Apr 16 22:58:33 CEST 2018;4527586.0;16401.0;15102.0
Mon Apr 16 23:03:33 CEST 2018;4672731.0;16640.0;15326.0
Mon Apr 16 23:08:35 CEST 2018;4817133.0;16862.0;15537.0
Mon Apr 16 23:13:33 CEST 2018;4958295.0;17057.0;15717.0
Mon Apr 16 23:18:35 CEST 2018;5099367.0;17301.0;15940.0
Mon Apr 16 23:23:33 CEST 2018;5242339.0;17532.0;16163.0
Mon Apr 16 23:28:35 CEST 2018;5386661.0;17729.0;16347.0
Mon Apr 16 23:33:35 CEST 2018;5526616.0;17879.0;16490.0
Mon Apr 16 23:38:35 CEST 2018;5663192.0;18044.0;16639.0
Mon Apr 16 23:43:34 CEST 2018;5796727.0;18167.0;16745.0
Mon Apr 16 23:49:58 CEST 2018;5929135.0;18426.0;16967.0
Mon Apr 16 23:55:06 CEST 2018;6064362.0;18692.0;17204.0
Tue Apr 17 00:00:08 CEST 2018;6197365.0;18896.0;17397.0
Tue Apr 17 00:05:08 CEST 2018;6332157.0;19079.0;17567.0
Tue Apr 17 00:10:09 CEST 2018;6468626.0;19247.0;17724.0
Tue Apr 17 00:15:06 CEST 2018;6601011.0;19385.0;17849.0
Tue Apr 17 00:20:06 CEST 2018;6728324.0;19509.0;17966.0
Tue Apr 17 00:25:06 CEST 2018;6854001.0;19612.0;18060.0
Tue Apr 17 00:30:06 CEST 2018;6980515.0;19821.0;18264.0
Tue Apr 17 00:35:06 CEST 2018;7106495.0;20002.0;18415.0
Tue Apr 17 00:40:07 CEST 2018;7227875.0;20138.0;18541.0
Tue Apr 17 00:45:07 CEST 2018;7348931.0;20260.0;18657.0
Tue Apr 17 00:50:06 CEST 2018;7471043.0;20388.0;18770.0
Tue Apr 17 00:55:23 CEST 2018;7593831.0;20586.0;18917.0
Tue Apr 17 11:37:15 CEST 2018;7715017.0;22107.0;20341.0
Tue Apr 17 11:42:15 CEST 2018;7836316.0;22260.0;20479.0
Tue Apr 17 11:47:15 CEST 2018;7958449.0;22404.0;20607.0
Tue Apr 17 11:52:15 CEST 2018;8080119.0;22525.0;20716.0
Tue Apr 17 11:57:15 CEST 2018;8201166.0;22661.0;20838.0
Tue Apr 17 12:02:15 CEST 2018;8322660.0;22804.0;20971.0
Tue Apr 17 12:07:15 CEST 2018;8444834.0;22941.0;21090.0
Tue Apr 17 12:12:15 CEST 2018;8567739.0;23078.0;21211.0
Tue Apr 17 12:17:15 CEST 2018;8691132.0;23204.0;21325.0
Tue Apr 17 12:22:15 CEST 2018;8815912.0;23389.0;21467.0
Tue Apr 17 12:27:16 CEST 2018;8942571.0;23518.0;21585.0
Tue Apr 17 12:32:15 CEST 2018;9069261.0;23671.0;21723.0
Tue Apr 17 12:37:15 CEST 2018;9198197.0;23796.0;21835.0
Tue Apr 17 12:42:15 CEST 2018;9327902.0;23939.0;21962.0
Tue Apr 17 12:47:15 CEST 2018;9457197.0;24059.0;22072.0
Tue Apr 17 12:52:15 CEST 2018;9585993.0;24178.0;22182.0
Tue Apr 17 12:57:15 CEST 2018;9714654.0;24293.0;22287.0
Tue Apr 17 13:02:15 CEST 2018;9843995.0;24385.0;22371.0
Tue Apr 17 13:07:15 CEST 2018;9974269.0;24500.0;22478.0
Tue Apr 17 13:12:15 CEST 2018;1.0106123E7;24610.0;22572.0
Tue Apr 17 13:17:16 CEST 2018;1.0239685E7;24717.0;22669.0
Tue Apr 17 13:22:15 CEST 2018;1.0375717E7;24814.0;22760.0
Tue Apr 17 13:27:15 CEST 2018;1.0513896E7;24919.0;22858.0
Tue Apr 17 13:32:15 CEST 2018;1.0652904E7;25012.0;22947.0
Tue Apr 17 13:37:15 CEST 2018;1.0791791E7;25130.0;23054.0
Tue Apr 17 13:42:15 CEST 2018;1.0932127E7;25253.0;23166.0
Tue Apr 17 13:47:16 CEST 2018;1.1072257E7;25372.0;23269.0
Tue Apr 17 13:52:16 CEST 2018;1.1212622E7;25488.0;23370.0
Tue Apr 17 13:57:27 CEST 2018;1.135577E7;25636.0;23510.0
Tue Apr 17 14:02:44 CEST 2018;1.1500588E7;25774.0;23638.0
Tue Apr 17 14:07:47 CEST 2018;1.1648422E7;25956.0;23808.0
Tue Apr 17 14:12:52 CEST 2018;1.1796646E7;26096.0;23943.0
Tue Apr 17 14:17:48 CEST 2018;1.1942879E7;26207.0;24042.0
Tue Apr 17 14:22:48 CEST 2018;1.2088708E7;26313.0;24144.0
Tue Apr 17 14:27:48 CEST 2018;1.2236684E7;26470.0;24258.0
Tue Apr 17 14:33:15 CEST 2018;1.238702E7;26609.0;24385.0
Tue Apr 17 14:38:25 CEST 2018;1.2542874E7;26743.0;24510.0
Tue Apr 17 14:43:55 CEST 2018;1.2697359E7;26870.0;24627.0
Tue Apr 17 14:48:55 CEST 2018;1.2850407E7;26971.0;24719.0
Tue Apr 17 14:53:57 CEST 2018;1.3003172E7;27072.0;24815.0
Tue Apr 17 14:59:40 CEST 2018;1.3156798E7;27225.0;24958.0
Tue Apr 17 15:05:16 CEST 2018;1.3312694E7;27346.0;25072.0
Tue Apr 17 15:10:16 CEST 2018;1.3471618E7;27469.0;25189.0
Tue Apr 17 15:15:33 CEST 2018;1.3632315E7;27613.0;25321.0
Tue Apr 17 15:20:31 CEST 2018;1.3796474E7;27776.0;25472.0
Tue Apr 17 15:25:31 CEST 2018;1.3961633E7;27931.0;25617.0
Tue Apr 17 15:30:31 CEST 2018;1.4127256E7;28073.0;25755.0
Tue Apr 17 15:35:31 CEST 2018;1.4295228E7;28193.0;25868.0
Tue Apr 17 15:40:31 CEST 2018;1.4460342E7;28303.0;25966.0
Tue Apr 17 15:45:34 CEST 2018;1.462417E7;28420.0;26077.0
Tue Apr 17 15:50:31 CEST 2018;1.4790744E7;28597.0;26207.0
Tue Apr 17 15:55:32 CEST 2018;1.4957212E7;28705.0;26308.0
Tue Apr 17 16:00:32 CEST 2018;1.5123408E7;28860.0;26452.0
Tue Apr 17 16:05:33 CEST 2018;1.5290069E7;29015.0;26602.0
Tue Apr 17 16:10:32 CEST 2018;1.5459424E7;29139.0;26719.0
Tue Apr 17 16:15:33 CEST 2018;1.5630568E7;29298.0;26866.0
Tue Apr 17 16:20:33 CEST 2018;1.5802841E7;29436.0;26992.0
Tue Apr 17 16:25:35 CEST 2018;1.5973242E7;29581.0;27126.0
Tue Apr 17 16:30:37 CEST 2018;1.6143071E7;29737.0;27278.0
Tue Apr 17 16:35:36 CEST 2018;1.6310741E7;29836.0;27372.0
Tue Apr 17 16:40:35 CEST 2018;1.6477611E7;29949.0;27478.0
Tue Apr 17 16:45:37 CEST 2018;1.6644717E7;30147.0;27622.0
Tue Apr 17 16:51:20 CEST 2018;1.6812385E7;30292.0;27756.0
Tue Apr 17 16:56:21 CEST 2018;1.6978514E7;30403.0;27861.0
Tue Apr 17 17:01:24 CEST 2018;1.7145978E7;30497.0;27950.0
Tue Apr 17 17:06:43 CEST 2018;1.7315073E7;30631.0;28077.0
Tue Apr 17 17:11:43 CEST 2018;1.7486948E7;30732.0;28174.0
Tue Apr 17 17:16:43 CEST 2018;1.7658506E7;30874.0;28311.0
Tue Apr 17 17:21:45 CEST 2018;1.7829396E7;30981.0;28415.0
Tue Apr 17 17:26:50 CEST 2018;1.7997836E7;31069.0;28497.0
Tue Apr 17 17:31:56 CEST 2018;1.8167052E7;31162.0;28586.0
Tue Apr 17 17:36:53 CEST 2018;1.8336712E7;31277.0;28693.0
Tue Apr 17 17:41:53 CEST 2018;1.8507378E7;31401.0;28812.0
Tue Apr 17 17:47:03 CEST 2018;1.8678036E7;31506.0;28910.0
Tue Apr 17 17:52:02 CEST 2018;1.8849733E7;31631.0;29029.0
Tue Apr 17 17:57:08 CEST 2018;1.9022893E7;31732.0;29128.0
Tue Apr 17 18:02:22 CEST 2018;1.9195815E7;31855.0;29244.0
Tue Apr 17 18:07:22 CEST 2018;1.9369871E7;31994.0;29376.0
