time;total;exploitable;vols;memoire
Wed Apr 18 18:29:53 CEST 2018;5981.0;5981.0;5667.0;5981
Wed Apr 18 18:36:27 CEST 2018;184848.0;158049.0;6753.0;6754
Wed Apr 18 18:42:01 CEST 2018;363775.0;308418.0;7597.0;6240
Wed Apr 18 18:47:37 CEST 2018;540359.0;456942.0;8345.0;6139
Wed Apr 18 18:53:00 CEST 2018;715083.0;597487.0;8981.0;5907
Wed Apr 18 18:59:02 CEST 2018;889866.0;747171.0;9896.0;6164
Wed Apr 18 19:04:38 CEST 2018;1064709.0;895082.0;10645.0;5996
Wed Apr 18 19:09:54 CEST 2018;1238241.0;1041913.0;11402.0;5951
Wed Apr 18 19:15:21 CEST 2018;1412020.0;1188514.0;12259.0;6066
Wed Apr 18 19:20:43 CEST 2018;1584770.0;1335426.0;13026.0;5981
Wed Apr 18 19:26:28 CEST 2018;1758368.0;1482500.0;13878.0;6070
Wed Apr 18 19:32:19 CEST 2018;1934068.0;1630519.0;14826.0;6167
Wed Apr 18 19:37:58 CEST 2018;2107756.0;1777406.0;15539.0;5956
